Date	Time	System Setting	System Mode	Calendar Event	Program Mode	Cool Set Temp (C)	Heat Set Temp (C)	Current Temp (C)	Current Humidity (%RH)	Outdoor Temp (C)	Wind Speed (km/h)	Cool Stage 1 (sec)	Cool Stage 2 (sec)	Heat Stage 1 (sec)	Heat Stage 2 (sec)	Aux Heat 1 (sec)	Aux Heat 2 (sec)	Fan (sec)	DM Offset	Thermostat Temperature (C)	Thermostat Humidity (%RH)	Thermostat Motion	Living Room (C)	Living Room Motion	Bedroom (C)	Bedroom Motion	Downstairs (C)	Downstairs Motion
2016-03-06	"00:00:00"	"auto"	"compressorHeatOff"	""	"Sleep"	27	19	19.7	63	11.3	5	0	0	0	0	0	0	270		20.4	63	0	19.3	0	19.6	0	20.3	0
2016-03-06	"00:05:00"	"auto"	"compressorHeatOff"	""	"Sleep"	27	19	19.7	63	11.3	5	0	0	0	0	0	0	105		20.3	63	0	19.3	0	19.6	0	20.2	0
2016-03-06	"00:10:00"	"auto"	"compressorHeatOff"	""	"Sleep"	27	19	19.6	63	11.3	5	0	0	0	0	0	0	300		20.3	63	0	19.3	0	19.5	0	20.2	0
2016-03-06	"00:15:00"	"auto"	"compressorHeatOff"	""	"Sleep"	27	19	19.6	63	11.3	5	0	0	0	0	0	0	270		20.3	63	0	19.3	0	19.4	0	20.2	0
2016-03-06	"00:20:00"	"auto"	"compressorHeatOff"	""	"Sleep"	27	19	19.6	63	11.3	5	0	0	0	0	0	0	105		20.3	63	0	19.3	0	19.4	0	20.2	0
2016-03-06	"00:25:00"	"auto"	"compressorHeatOff"	""	"Sleep"	27	19	19.6	63	11.3	5	0	0	0	0	0	0	300		20.3	63	0	19.3	0	19.4	0	20.2	0
2016-03-06	"00:30:00"	"auto"	"compressorHeatOff"	""	"Sleep"	27	19	19.6	63	10.6	6	0	0	0	0	0	0	270		20.3	63	0	19.3	0	19.4	0	20.2	0
2016-03-06	"00:35:00"	"auto"	"compressorHeatOff"	""	"Sleep"	27	19	19.6	63	10.6	6	0	0	0	0	0	0	105		20.2	63	0	19.3	0	19.4	0	20.2	0
2016-03-06	"00:40:00"	"auto"	"compressorHeatOff"	""	"Sleep"	27	19	19.6	63	10.6	6	0	0	0	0	0	0	300		20.2	63	0	19.3	0	19.4	0	20.2	0
2016-03-06	"00:45:00"	"auto"	"compressorHeatOff"	""	"Sleep"	27	19	19.6	63	10.6	6	0	0	0	0	0	0	270		20.2	63	0	19.2	0	19.4	0	20.2	0
2016-03-06	"00:50:00"	"auto"	"compressorHeatOff"	""	"Sleep"	27	19	19.6	63	10.6	6	0	0	0	0	0	0	105		20.1	63	0	19.2	0	19.4	0	20.1	0
2016-03-06	"00:55:00"	"auto"	"compressorHeatOff"	""	"Sleep"	27	19	19.5	63	10.6	6	0	0	0	0	0	0	300		20.1	63	0	19.2	0	19.4	0	20.1	0
2016-03-06	"01:00:00"	"auto"	"compressorHeatOff"	""	"Sleep"	27	19	19.5	63	10.6	6	0	0	0	0	0	0	270		20.1	63	0	19.2	0	19.3	0	20.1	0
2016-03-06	"01:05:00"	"auto"	"compressorHeatOff"	""	"Sleep"	27	19	19.5	63	10.6	6	0	0	0	0	0	0	105		20.2	63	0	19.2	0	19.3	0	20.1	0
2016-03-06	"01:10:00"	"auto"	"compressorHeatOff"	""	"Sleep"	27	19	19.5	63	10.6	6	0	0	0	0	0	0	300		20.1	63	0	19.2	0	19.3	0	20.1	0
2016-03-06	"01:15:00"	"auto"	"compressorHeatOff"	""	"Sleep"	27	19	19.4	63	10.6	6	0	0	0	0	0	0	270		20.1	63	0	19.1	0	19.3	0	20.1	0
2016-03-06	"01:20:00"	"auto"	"compressorHeatOff"	""	"Sleep"	27	19	19.4	63	10.6	6	0	0	0	0	0	0	105		20.1	63	0	19.1	0	19.3	0	20	0
2016-03-06	"01:25:00"	"auto"	"compressorHeatOff"	""	"Sleep"	27	19	19.4	63	10.6	6	0	0	0	0	0	0	300		20.1	63	0	19.1	0	19.3	0	19.9	0
2016-03-06	"01:30:00"	"auto"	"compressorHeatOff"	""	"Sleep"	27	19	19.4	63	10.4	6	0	0	0	0	0	0	270		20.1	63	0	19.1	0	19.3	0	19.9	0
2016-03-06	"01:35:00"	"auto"	"compressorHeatOff"	""	"Sleep"	27	19	19.4	63	10.4	6	0	0	0	0	0	0	105		20.1	63	0	19.1	0	19.3	0	19.9	0
2016-03-06	"01:40:00"	"auto"	"compressorHeatOff"	""	"Sleep"	27	19	19.4	63	10.4	6	0	0	0	0	0	0	300		20.1	63	0	19.1	0	19.3	0	19.9	0
2016-03-06	"01:45:00"	"auto"	"compressorHeatOff"	""	"Sleep"	27	19	19.4	63	10.4	6	0	0	0	0	0	0	270		20.1	63	0	19.1	0	19.3	0	19.9	0
2016-03-06	"01:50:00"	"auto"	"compressorHeatOff"	""	"Sleep"	27	19	19.4	63	10.4	6	0	0	0	0	0	0	105		20.1	63	0	19	0	19.3	0	19.9	0
2016-03-06	"01:55:00"	"auto"	"compressorHeatOff"	""	"Sleep"	27	19	19.4	63	10.4	6	0	0	0	0	0	0	300		20.1	63	0	18.9	0	19.3	0	19.9	0
2016-03-06	"02:00:00"	"auto"	"compressorHeatOff"	""	"Sleep"	27	19	19.4	63	10.8	9	0	0	0	0	0	0	270		20.1	63	0	18.9	0	19.3	0	19.9	0
2016-03-06	"02:05:00"	"auto"	"compressorHeatOff"	""	"Sleep"	27	19	19.4	63	10.8	9	0	0	0	0	0	0	105		20.1	63	0	18.9	0	19.3	0	19.9	0
2016-03-06	"02:10:00"	"auto"	"compressorHeatOff"	""	"Sleep"	27	19	19.3	63	10.8	9	0	0	0	0	0	0	300		20.1	63	0	18.9	0	19.3	0	19.8	0
2016-03-06	"02:15:00"	"auto"	"compressorHeatOff"	""	"Sleep"	27	19	19.3	63	10.8	9	0	0	0	0	0	0	270		20.1	63	0	18.9	0	19.3	0	19.8	0
2016-03-06	"02:20:00"	"auto"	"compressorHeatOff"	""	"Sleep"	27	19	19.3	63	10.8	9	0	0	0	0	0	0	105		20.1	63	0	18.8	0	19.3	0	19.8	0
2016-03-06	"02:25:00"	"auto"	"compressorHeatOff"	""	"Sleep"	27	19	19.3	63	10.8	9	0	0	0	0	0	0	300		20	63	0	18.8	0	19.3	0	19.8	0
2016-03-06	"02:30:00"	"auto"	"compressorHeatOff"	""	"Sleep"	27	19	19.3	63	9.1	8	0	0	0	0	0	0	270		20	63	0	18.8	0	19.3	0	19.8	0
2016-03-06	"02:35:00"	"auto"	"compressorHeatOff"	""	"Sleep"	27	19	19.3	63	9.1	8	0	0	0	0	0	0	105		19.9	63	0	18.8	0	19.3	0	19.8	0
2016-03-06	"02:40:00"	"auto"	"compressorHeatOff"	""	"Sleep"	27	19	19.3	63	9.1	8	0	0	0	0	0	0	300		19.9	63	0	18.8	0	19.3	0	19.8	0
2016-03-06	"02:45:00"	"auto"	"compressorHeatOff"	""	"Sleep"	27	19	19.3	63	9.1	8	0	0	0	0	0	0	270		19.9	63	0	18.8	0	19.3	0	19.8	0
2016-03-06	"02:50:00"	"auto"	"compressorHeatOff"	""	"Sleep"	27	19	19.3	63	9.1	8	0	0	0	0	0	0	105		19.9	63	0	18.8	0	19.3	0	19.8	0
2016-03-06	"02:55:00"	"auto"	"compressorHeatOff"	""	"Sleep"	27	19	19.3	63	9.1	8	0	0	0	0	0	0	300		19.9	63	0	18.8	0	19.3	0	19.8	0
2016-03-06	"03:00:00"	"auto"	"compressorHeatOff"	""	"Sleep"	27	19	19.3	63	9.1	8	0	0	0	0	0	0	270		19.9	63	0	18.8	0	19.3	0	19.8	0
2016-03-06	"03:05:00"	"auto"	"compressorHeatOff"	""	"Sleep"	27	19	19.3	63	9.1	8	0	0	0	0	0	0	105		19.8	63	0	18.8	0	19.3	0	19.8	0
2016-03-06	"03:10:00"	"auto"	"compressorHeatOff"	""	"Sleep"	27	19	19.3	63	9.1	8	0	0	0	0	0	0	300		19.8	63	0	18.8	0	19.3	0	19.8	0
2016-03-06	"03:15:00"	"auto"	"compressorHeatOff"	""	"Sleep"	27	19	19.3	63	9.1	8	0	0	0	0	0	0	270		19.8	63	0	18.8	0	19.3	0	19.8	0
2016-03-06	"03:20:00"	"auto"	"compressorHeatOff"	""	"Sleep"	27	19	19.3	63	9.1	8	0	0	0	0	0	0	105		19.8	63	0	18.8	0	19.3	0	19.8	0
2016-03-06	"03:25:00"	"auto"	"compressorHeatOff"	""	"Sleep"	27	19	19.3	63	9.1	8	0	0	0	0	0	0	300		19.8	63	0	18.8	0	19.3	0	19.8	0
2016-03-06	"03:30:00"	"auto"	"compressorHeatOff"	""	"Sleep"	27	19	19.3	63	9.3	5	0	0	0	0	0	0	270		19.8	63	0	18.8	0	19.3	0	19.8	0
